DATE,Home_Price_Index,Year,Month,Per_Capita_GDP,working_age_pop,Un_emp_Rate,Cons_Material_Cost,FEDFUNDS,Urban_Pop,Num_Households,Disposable_Income,Subsidy,old_age_pop
1/1/2002,117.144,2002,1,50091,182565279.9,5.7,142,1.73,79.4,109297,65820,24.183,12.3
2/1/2002,117.845,2002,2,50156,182796967.6,5.7,142.2,1.74,79.4,109297,65820,24.183,12.3
3/1/2002,118.687,2002,3,50221,183077355.6,5.7,143.2,1.73,79.4,109297,65820,24.183,12.3
4/1/2002,119.611,2002,4,50286,183259721.1,5.9,143.5,1.75,79.4,109297,65820,24.183,12.3
5/1/2002,120.724,2002,5,50311.33333,183508489.9,5.8,143.8,1.75,79.4,109297,65820,24.183,12.3
6/1/2002,121.813,2002,6,50336.66667,183669679.1,5.8,144.3,1.75,79.4,109297,65820,24.183,12.3
7/1/2002,122.888,2002,7,50362,183888022.6,5.8,144.7,1.73,79.4,109297,65820,24.183,12.3
8/1/2002,123.83,2002,8,50342,184160985.6,5.7,145.1,1.74,79.4,109297,65820,24.183,12.3
9/1/2002,124.78,2002,9,50322,184423183.2,5.7,145.4,1.75,79.4,109297,65820,24.183,12.3
10/1/2002,125.735,2002,10,50302,184554183.4,5.7,145,1.75,79.4,109297,65820,24.183,12.3
11/1/2002,126.67,2002,11,50355.33333,184744660.9,5.9,144.6,1.34,79.4,109297,65820,24.183,12.3
12/1/2002,127.624,2002,12,50408.66667,184859330.5,6,144.3,1.24,79.4,109297,65820,24.183,12.3
1/1/2003,128.461,2003,1,50462,185634217.7,5.8,144.4,1.24,79.6,111278,65860,25.93,12.3
2/1/2003,129.355,2003,2,50573.33333,185868643.2,5.9,145.2,1.26,79.6,111278,65860,25.93,12.3
3/1/2003,130.148,2003,3,50684.66667,186084693.6,5.9,145.2,1.25,79.6,111278,65860,25.93,12.3
4/1/2003,130.884,2003,4,50796,186470081.2,6,145.9,1.26,79.6,111278,65860,25.93,12.3
5/1/2003,131.735,2003,5,51034.66667,186649528.3,6.1,145.8,1.26,79.6,111278,65860,25.93,12.3
6/1/2003,132.649,2003,6,51273.33333,186801069.5,6.3,146.1,1.22,79.6,111278,65860,25.93,12.3
7/1/2003,133.777,2003,7,51512,187067405.8,6.2,147,1.01,79.6,111278,65860,25.93,12.3
8/1/2003,134.969,2003,8,51670,187305250.8,6.1,147.2,1.03,79.6,111278,65860,25.93,12.3
9/1/2003,136.294,2003,9,51828,187539775.2,6.1,149,1.01,79.6,111278,65860,25.93,12.3
